OPDEF1,count(1)
 ME 19-21 ,1
 ME 24-21,1
 ME 25/26/27- 22,1
 OPDEF ME 25-20,1
 WE 07-22 220849ZFEB22,1
 WE 28/21,1
00,1
002-21,1
004-23,2
008-21,1
008-22,1
01-22,1
01-23,1
01-23 - 241028Z JAN 23,1
011-20,1
02-19,1
02-20,1
02-22,1
02-23 - 241039Z JAN 23,1
021906ZFEB21 ME 01-21,1
03-21,1
03-22,1
03-23,1
030-23,1
04-21,2
04-23,2
05-21,1
05-23,3
05-23 (121939ZJAN23),1
050855Z APR 22 12-22,1
050855Z APR 22 WE 12-22,1
051-22,1
051-23,1
056-22,1
056-23,1
058-22,1
058-23,1
059-22,1
06-22,1
06-23,4
06-23 C2,1
067-23,1
07-21,2
07-22,1
07-22 220849ZFEB22,1
07-23,2
07/21,1
08,1
"08, 21, 36, 20- 22",1
09-21,1
09-22,1
09-23,3
099-22,1
1 AGRM ME OPDEF 47-20,1
10-22,2
10-23,2
100-23,1
101-20,1
104-22,2
104-23,2
105-22,2
11-21 600V Elvi Unit,1
11-22,1
11-23,1
110-22,1
110831A JUL 23 WE 10-23,1
12-21,1
12-22,1
12/22,1
120-23,1
1210,1
125-20,1
"125/20, 126/20 & 127/20",1
1310,1
1312,1
132/22,1
136-22,1
138-21,1
14-22,1
14-23,2
145-20,1
15-23,1
151921Z MAR 21,1
16-22,2
1610,1
161919Z Jun23,1
17-21,2
17-23,3
171-23,1
18-22,2
18-23,2
19-21,1
19-22,1
19-23,2
20-22,2
2012,1
21-21,1
21-22,2
21-23,2
23-21,1
23-22,2
23-23,1
24-21,2
24-22,1
24-23   101435Z MAY 23 ,1
25-22,3
25-23 101628Z MAY 23,1
26-21,1
26/22,1
261527Z MAY 20 WE26-20,1
27-22,1
27-23,1
270855Z JUN 22 WE 40-22,1
271410 APR 22,1
28-22,1
28-23,2
30-23,1
31-22,2
31-23,1
3110,1
32-23,1
33-23,1
34-21,2
34-22,1
3410,1
3411,1
"35,36,92,93-22 refer",1
"35-23, 08-22",1
"36,38,39,40-21",1
3612,1
37-22,1
3712,1
38-23,1
3810,1
39-22,1
40-22,1
40-23,2
41-21,1
41-23,1
41/21,1
410,1
42-22,1
43-22,1
43-23,1
44-20,1
44-21,1
"44-21, 42-21, 03-21",1
45-23,1
46-21,1
47 - 23,1
47-20 192051ZOCT 20,1
47-22,1
47-23,1
48-21,1
48-22,1
49-23,3
50-21 DTG301448Z AUG 21,1
50-22,1
50-22 281335Z SEP 22,1
50/21,1
5010,2
51-20,1
51-22,1
51-22 & 53-22,1
52-20,1
53/22,1
54 - 22 REFERS,1
54-20 DAVIT BRAKE ASSY,1
54-21,1
55-20,1
55-22,1
55-22 271519ZOCT22,2
55-23 STBD GAS TURBINE,1
56-21,1
56-22 301828Z OCT 22,1
56-23,1
"57-22, 88-22, 89-22(B1)",1
58-21,1
5810,1
59-21,1
60-21,1
60-22,1
60-22 051256Z AUG 22,1
60/21,1
61-22,1
61-22 and 124-22,1
61-23,2
62-22 241532Z NOV 22,1
62-23,1
63-20,1
63-21,2
63-22,1
64-023,1
"64-21, 48-21",1
64-22 and 59-22 ,1
6410,1
65-20,1
65-23,1
66-20,1
66-23,1
67-22,2
67-23,2
68-22,2
69-22,2
69/21,1
70-20,1
70-21 B1 071100Z Sep 21,1
70-22,1
70-23,1
71-23,1
7110,1
72-23,1
7212,1
73-22,1
74-22,1
75-22,1
76-22,3
77-23 021711Z AUG 23,1
7710,1
78-20,2
78-21,4
78-22,3
79-22,1
79-23,1
810,1
812,1
82/21,1
83-20,1
83-22,1
85-22,1
86-22,2
86-22 SME SW Cooling C2,1
86-23,1
88-22,1
"88-22, 89-22",1
89-23,1
90-23,1
91-22,3
91-23,1
92-22,1
93-21,1
95-22,1
97/21 and 79/22,1
A1 OPDEF ME 63-23,1
A2 55-23 162203Z SEP 23,1
ALBION WE 037-21,1
ALBION WE 058-20,1
"ALBN ME 94-22, 100-18, ",1
ALBN OPDEF WE 057-23,1
ARGL ME OPDEF 111-20,3
ARGL OP OPDEF 17-20,1
ARGL WE 67-20 (A2),1
ARGYLL OP07-19 SITREP 1,1
Albon ME 36-22,1
As Above,1
BNGNR OPDEF ME 22-21,1
BNGR OPDEF ME 13/23,1
BNGR OPDEF WE 023-23,1
BROC WE 62-20 ,1
Bangor OPDEF WE 31-22,3
Bulwark ME 002-15,1
CHID OPDEF WE 14-21,1
CHID OPDEF WE 78-21,1
DEFREP 42-17,1
DEFREP ME 04-22,1
DEFREP ME 17-22,1
DEFREP ME 23-22,1
DEFREP WE 12-21,1
DFND  OPDEF WE 48-22,1
DFND WE 31-21,1
DFND WE 38-21,1
DFND WE 82-21,1
DFND WE OP OPDEF 05-22 ,1
DFND: WE OPDEF 26/22,1
DMND ME 124/20,1
DMND OP OPEF 13/20,2
DMND WE 39-23,1
DMND WE 43-20 ,1
DMND WE 63-23,1
DNCN  OPDEF ME 30-22 01,1
DNCN ME 21-21,1
"DNCN ME 33-22, 39-22 ",1
DNCN WE 25-23,1
DNCN WE 41-22,1
DNTL ME 38-20 and 37-20,1
DNTL OPDEF WE 111-23,1
DNTL OPDEF WE 114-23,1
DNTL WE 42-22 ,1
DNTL WE 71-22,1
DNTL WE OPDEF 108-23,1
DNTLME 162-23 ,1
DNTLWE68-23 ,1
DRAGON WE 15-20,1
DRAGON WE 56-20,2
DRAGON WE 68-20,1
DRGN ME 22-20,1
DRGN ME 57-20,1
DRGN WE 101-20,1
DRGN WE 102-20,1
DRGN WE 64-19,1
DRGN WE 99-20,1
DRGN WE OPDEF 53-21,1
DTG 290041Z SEP 22,1
DUNCAN OPDEF WE 14-23,1
ECHO ME 22-21,1
ECHO ME 77-20,1
ECHO ME 86-20 DTG 23142,1
ECHO OPDEF WE 02-22,1
ENTP ME 52-22,1
ENTP ME OPDEF 46-22,1
ENTP OPDEF/ME 25-22,1
FRTH 10-23,1
FSUMCM WE 01-20 (A2),1
GTA1 – OPDEF ME 023-2,1
GTA2 – OPDEF ME 118-2,1
HMS ALBION ME 36-23 A2,1
HMS ALBION WE 009-21,1
HMS ALBION WE 71-22,1
HMS ALBN WEOPDEF 053-20,1
HMS BANGOR ME 40/23,1
HMS DNCN ME 71-23,1
HMS DNTL OPDEF 65-22,1
HMS DUNCAN WE 57-23,1
HMS Echo ME 04/21 B2,1
HMS Enterprise ME 04-23,1
HMS HURWORTH ME 71-22,1
HMS LANC OPDEF WE 14-23,1
HMS LANC WE 16-23,1
HMS LANC WE OPDEF 23-23,1
HMS MERSEY ME22-23 (C3),1
HMS MRSY OPDEF ME 26-20,4
HMS MTRO ME 116 &117-20,1
HMS MTRO WE 27-22,1
