,db,table,column,completeness,dataType,dataTypeBool,dataTypeFloat,dataTypeInt,dataTypeStr,dataTypeUnknown,distinctValues,min,max,stdDev,hist,hasHist
0,GoldESP Raw,ACQUISITION_ADVICE_CODES_DATA_TABLE,ACQUISITION_ADVICE_CODE,1.0,String,0,0,0,26,0,26,,,,"[{""value"":""E"",""count"":1,""ratio"":0.03846154},{""value"":""X"",""count"":1,""ratio"":0.03846154},{""value"":""N"",""count"":1,""ratio"":0.03846154},{""value"":""T"",""count"":1,""ratio"":0.03846154},{""value"":""Y"",""count"":1,""ratio"":0.03846154},{""value"":""J"",""count"":1,""ratio"":0.03846154},{""value"":""U"",""count"":1,""ratio"":0.03846154},{""value"":""F"",""count"":1,""ratio"":0.03846154},{""value"":""A"",""count"":1,""ratio"":0.03846154},{""value"":""M"",""count"":1,""ratio"":0.03846154},{""value"":""I"",""count"":1,""ratio"":0.03846154},{""value"":""G"",""count"":1,""ratio"":0.03846154},{""value"":""V"",""count"":1,""ratio"":0.03846154},{""value"":""Q"",""count"":1,""ratio"":0.03846154},{""value"":""L"",""count"":1,""ratio"":0.03846154},{""value"":""B"",""count"":1,""ratio"":0.03846154},{""value"":""P"",""count"":1,""ratio"":0.03846154},{""value"":""C"",""count"":1,""ratio"":0.03846154},{""value"":""H"",""count"":1,""ratio"":0.03846154},{""value"":""W"",""count"":1,""ratio"":0.03846154},{""value"":""K"",""count"":1,""ratio"":0.03846154},{""value"":""R"",""count"":1,""ratio"":0.03846154},{""value"":""O"",""count"":1,""ratio"":0.03846154},{""value"":""D"",""count"":1,""ratio"":0.03846154},{""value"":""Z"",""count"":1,""ratio"":0.03846154},{""value"":""S"",""count"":1,""ratio"":0.03846154}]",True
1,GoldESP Raw,ACQUISITION_ADVICE_CODES_DATA_TABLE,CREATED_BY,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""GOLDADMIN"",""count"":26,""ratio"":1.0}]",True
2,GoldESP Raw,ACQUISITION_ADVICE_CODES_DATA_TABLE,CREATED_ON,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""07-JUN-19"",""count"":26,""ratio"":1.0}]",True
3,GoldESP Raw,ACQUISITION_ADVICE_CODES_DATA_TABLE,DESCRIPTION,1.0,String,0,0,0,26,0,27,,,,"[{""value"":""Direct Delivery under Central Contract"",""count"":1,""ratio"":0.03846154},{""value"":""Service/Agency Regulated (Service/Agency use only)"",""count"":1,""ratio"":0.03846154},{""value"":""Packaged Fuels"",""count"":1,""ratio"":0.03846154},{""value"":""DoD Integrated Materiel Managed, Stocked, and Issued"",""count"":1,""ratio"":0.03846154},{""value"":""Fabricate Or Assemble.  Phrase Code Q also applies."",""count"":1,""ratio"":0.03846154},{""value"":""Service/Agency Managed (Service/Agency use only)"",""count"":1,""ratio"":0.03846154},{""value"":""Terminal Item.  Phrase Code L, N or V also may apply."",""count"":1,""ratio"":0.03846154},{""value"":""Centrally Stocked for Overseas Only"",""count"":1,""ratio"":0.03846154},{""value"":""GSA/Civil Agency Integrated Materiel-Managed, Stocked and Issued"",""count"":1,""ratio"":0.03846154},{""value"":""Semi-active Item ��� No Replacement."",""count"":1,""ratio"":0.03846154},{""value"":""Insurance/Numeric Stockage Objective Item"",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisitioning ��� Special Instructions Apply.   Phrase Code S also may apply."",""count"":1,""ratio"":0.03846154},{""value"":""Local Purchase"",""count"":1,""ratio"":0.03846154},{""value"":""Inventory Control Point (ICP) Regulated (Service/Agency use only)"",""count"":1,""ratio"":0.03846154},{""value"":""Other Service Managed, Stocked, and Issued (Service use only)"",""count"":1,""ratio"":0.03846154},{""value"":""Bulk Petroleum Products DLA Managed"",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisition ��� Government Furnished Materiel (GFM)."",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisitioning ��� Disposal (Service/Agency use only).  Phrase Codes L or N may apply."",""count"":1,""ratio"":0.03846154},{""value"":""Lead Service Managed"",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisitions ��� Major Overhaul (Service/Agency use only)."",""count"":1,""ratio"":0.03846154},{""value"":""Condemned.  Phrase Code T applies."",""count"":1,""ratio"":0.03846154},{""value"":""Direct Ordering from Central Contract/Schedule"",""count"":1,""ratio"":0.03846154},{""value"":""Terminal Item.  Phrase Code S applies."",""count"":1,""ratio"":0.03846154},{""value"":""Not Stocked.  Centrally Procured."",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisition ��� Security Assistance Program."",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisitioning ��� Other Service Funded (Service use only)."",""count"":1,""ratio"":0.03846154}]",True
4,GoldESP Raw,ACQUISITION_ADVICE_CODES_DATA_TABLE,LAST_CHANGED_BY,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""GOLDADMIN"",""count"":26,""ratio"":1.0}]",True
5,GoldESP Raw,ACQUISITION_ADVICE_CODES_DATA_TABLE,LAST_CHANGED_ON,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""07-JUN-19"",""count"":26,""ratio"":1.0}]",True
6,GoldESP Raw,ACQUISITION_ADVICE_CODES_DATA_TABLE,TYPE_SOS,1.0,String,0,0,0,26,0,5,,,,"[{""value"":""E"",""count"":1,""ratio"":0.03846154},{""value"":""X"",""count"":1,""ratio"":0.03846154},{""value"":""C"",""count"":13,""ratio"":0.5},{""value"":""R"",""count"":10,""ratio"":0.3846154},{""value"":""D"",""count"":1,""ratio"":0.03846154}]",True
7,GoldESP Raw,ACQUISITION_ADVICE_CODES_DATA_TABLE,TYPE_SOS_OVERRIDE,0.0,Unknown,0,0,0,0,26,0,,,,,False
8,GoldESP Raw,ACTION_TAKEN_CODES_DATA_TABLE,ACTION_TAKEN_CODE,1.0,String,0,0,36,3,0,41,,,,"[{""value"":""45"",""count"":1,""ratio"":0.025641026},{""value"":""34"",""count"":1,""ratio"":0.025641026},{""value"":""84"",""count"":1,""ratio"":0.025641026},{""value"":""TR"",""count"":1,""ratio"":0.025641026},{""value"":""73"",""count"":1,""ratio"":0.025641026},{""value"":""19"",""count"":1,""ratio"":0.025641026},{""value"":""23"",""count"":1,""ratio"":0.025641026},{""value"":""15"",""count"":1,""ratio"":0.025641026},{""value"":""44"",""count"":1,""ratio"":0.025641026},{""value"":""33"",""count"":1,""ratio"":0.025641026},{""value"":""26"",""count"":1,""ratio"":0.025641026},{""value"":""37"",""count"":1,""ratio"":0.025641026},{""value"":""13"",""count"":1,""ratio"":0.025641026},{""value"":""46"",""count"":1,""ratio"":0.025641026},{""value"":""24"",""count"":1,""ratio"":0.025641026},{""value"":""35"",""count"":1,""ratio"":0.025641026},{""value"":""16"",""count"":1,""ratio"":0.025641026},{""value"":""79"",""count"":1,""ratio"":0.025641026},{""value"":""72"",""count"":1,""ratio"":0.025641026},{""value"":""AF"",""count"":1,""ratio"":0.025641026},{""value"":""03"",""count"":1,""ratio"":0.025641026},{""value"":""21"",""count"":1,""ratio"":0.025641026},{""value"":""43"",""count"":1,""ratio"":0.025641026},{""value"":""71"",""count"":1,""ratio"":0.025641026},{""value"":""80"",""count"":1,""ratio"":0.025641026},{""value"":""49"",""count"":1,""ratio"":0.025641026},{""value"":""36"",""count"":1,""ratio"":0.025641026},{""value"":""17"",""count"":1,""ratio"":0.025641026},{""value"":""BF"",""count"":1,""ratio"":0.025641026},{""value"":""14"",""count"":1,""ratio"":0.025641026},{""value"":""31"",""count"":1,""ratio"":0.025641026},{""value"":""53"",""count"":1,""ratio"":0.025641026},{""value"":""20"",""count"":1,""ratio"":0.025641026},{""value"":""27"",""count"":1,""ratio"":0.025641026},{""value"":""70"",""count"":1,""ratio"":0.025641026},{""value"":""81"",""count"":1,""ratio"":0.025641026},{""value"":""18"",""count"":1,""ratio"":0.025641026},{""value"":""74"",""count"":1,""ratio"":0.025641026},{""value"":""01"",""count"":1,""ratio"":0.025641026}]",True
9,GoldESP Raw,ACTION_TAKEN_CODES_DATA_TABLE,DESCRIPTION,1.0,String,0,0,0,39,0,38,,,,"[{""value"":""LAST ITEM REPLACED U/S ITEM IS T3/4"",""count"":1,""ratio"":0.025641026},{""value"":""BEFORE FLIGHT INSPECTION"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED BY MOD/STI/SI"",""count"":1,""ratio"":0.025641026},{""value"":""ECU REPLACED U/S ECU R2"",""count"":1,""ratio"":0.025641026},{""value"":""ECU REPLACED U/S ECU SCRAP"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED IN SITU"",""count"":1,""ratio"":0.025641026},{""value"":""LAST ITEM REPLACED U/S ITEM IS SCRAP"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECT ITEM TO LIM LOG"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED BY ROLE CHANGE"",""count"":1,""ratio"":0.025641026},{""value"":""SOFTWARE FAULT, FAULT NOT RECTIFIED"",""count"":1,""ratio"":0.025641026},{""value"":""HIGHER ASS/EQUIP REP U/S ITEM FOR INVEST"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT CLEARED ITSELF DURING INVESTIGATION"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT ELIMINATED/SYSTEM NOT PROVEN/CONCESSION GRANTED"",""count"":1,""ratio"":0.025641026},{""value"":""NO FAULT FOUND AFTER CHECK / TEST"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED R2"",""count"":1,""ratio"":0.025641026},{""value"":""AFTER FLIGHT INSPECTION"",""count"":1,""ratio"":0.025641026},{""value"":""MINOR ITEMS REPLACED / REPAIRED"",""count"":1,""ratio"":0.025641026},{""value"":""ECU REPLACED U/S ECU R3/4"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED RETAINED INVESTIGATION"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED R3/4, BUR OR RADFAULT"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED BY RADREPAIR"",""count"":1,""ratio"":0.025641026},{""value"":""BAY TESTED - CONFORMED SERVICEABLE"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED ON SEPARATE JOBCARD"",""count"":1,""ratio"":0.025641026},{""value"":""LAST ITEM REPLACED U/S ITEM R3/4, BUR OR RADREPLACE"",""count"":1,""ratio"":0.025641026},{""value"":""ADJUSTED"",""count"":1,""ratio"":0.025641026},{""value"":""TURN-ROUND INSPECTION"",""count"":1,""ratio"":0.025641026},{""value"":""ECU REPLACED U/S ECU FOR INVEST"",""count"":1,""ratio"":0.025641026},{""value"":""ROBBED ITEM REPLACED"",""count"":1,""ratio"":0.025641026},{""value"":""HIGHER ASS/EQUIP REP U/S ITEM SCRAP"",""count"":1,""ratio"":0.025641026},{""value"":""HIGHER ASSEMBLY EQUIP REPLACED U/S ITEM R3/4"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECT ITEM TO ADF LOG"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED SCRAP"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED BY SCHEDULED MAINTENANCE"",""count"":1,""ratio"":0.025641026},{""value"":""HIGHER ASSEMBLY EQUIP REPLACED U/S ITEM R2"",""count"":1,""ratio"":0.025641026},{""value"":""LAST ITEM REPLACED U/S ITEM RETAINED FOR INVESTIGATION"",""count"":1,""ratio"":0.025641026},{""value"":""LAST ITEM REPLACED U/S ITEM R2"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED T3/4"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED RETURN TO MANUFACTURER"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECT HIGHER ASS/EQUIP R3/4"",""count"":1,""ratio"":0.025641026}]",True
