,db,table,column,completeness,dataType,dataTypeBool,dataTypeFloat,dataTypeInt,dataTypeStr,dataTypeUnknown,distinctValues,min,max,stdDev,hist,hasHist
0,GoldESP,ACQUISITION_ADVICE_CODES,ACQUISITION_ADVICE_CODE,1.0,String,0,0,0,26,0,26,,,,"[{""value"":""E"",""count"":1,""ratio"":0.03846154},{""value"":""X"",""count"":1,""ratio"":0.03846154},{""value"":""N"",""count"":1,""ratio"":0.03846154},{""value"":""T"",""count"":1,""ratio"":0.03846154},{""value"":""Y"",""count"":1,""ratio"":0.03846154},{""value"":""J"",""count"":1,""ratio"":0.03846154},{""value"":""U"",""count"":1,""ratio"":0.03846154},{""value"":""F"",""count"":1,""ratio"":0.03846154},{""value"":""A"",""count"":1,""ratio"":0.03846154},{""value"":""M"",""count"":1,""ratio"":0.03846154},{""value"":""I"",""count"":1,""ratio"":0.03846154},{""value"":""G"",""count"":1,""ratio"":0.03846154},{""value"":""V"",""count"":1,""ratio"":0.03846154},{""value"":""Q"",""count"":1,""ratio"":0.03846154},{""value"":""L"",""count"":1,""ratio"":0.03846154},{""value"":""B"",""count"":1,""ratio"":0.03846154},{""value"":""P"",""count"":1,""ratio"":0.03846154},{""value"":""C"",""count"":1,""ratio"":0.03846154},{""value"":""H"",""count"":1,""ratio"":0.03846154},{""value"":""W"",""count"":1,""ratio"":0.03846154},{""value"":""K"",""count"":1,""ratio"":0.03846154},{""value"":""R"",""count"":1,""ratio"":0.03846154},{""value"":""O"",""count"":1,""ratio"":0.03846154},{""value"":""D"",""count"":1,""ratio"":0.03846154},{""value"":""Z"",""count"":1,""ratio"":0.03846154},{""value"":""S"",""count"":1,""ratio"":0.03846154}]",True
1,GoldESP,ACQUISITION_ADVICE_CODES,CREATED_BY,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""GOLDADMIN"",""count"":26,""ratio"":1.0}]",True
2,GoldESP,ACQUISITION_ADVICE_CODES,CREATED_ON,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""07-JUN-19"",""count"":26,""ratio"":1.0}]",True
3,GoldESP,ACQUISITION_ADVICE_CODES,DESCRIPTION,1.0,String,0,0,0,26,0,27,,,,"[{""value"":""Direct Delivery under Central Contract"",""count"":1,""ratio"":0.03846154},{""value"":""Service/Agency Regulated (Service/Agency use only)"",""count"":1,""ratio"":0.03846154},{""value"":""Packaged Fuels"",""count"":1,""ratio"":0.03846154},{""value"":""DoD Integrated Materiel Managed, Stocked, and Issued"",""count"":1,""ratio"":0.03846154},{""value"":""Fabricate Or Assemble.  Phrase Code Q also applies."",""count"":1,""ratio"":0.03846154},{""value"":""Service/Agency Managed (Service/Agency use only)"",""count"":1,""ratio"":0.03846154},{""value"":""Terminal Item.  Phrase Code L, N or V also may apply."",""count"":1,""ratio"":0.03846154},{""value"":""Centrally Stocked for Overseas Only"",""count"":1,""ratio"":0.03846154},{""value"":""GSA/Civil Agency Integrated Materiel-Managed, Stocked and Issued"",""count"":1,""ratio"":0.03846154},{""value"":""Semi-active Item ��� No Replacement."",""count"":1,""ratio"":0.03846154},{""value"":""Insurance/Numeric Stockage Objective Item"",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisitioning ��� Special Instructions Apply.   Phrase Code S also may apply."",""count"":1,""ratio"":0.03846154},{""value"":""Local Purchase"",""count"":1,""ratio"":0.03846154},{""value"":""Inventory Control Point (ICP) Regulated (Service/Agency use only)"",""count"":1,""ratio"":0.03846154},{""value"":""Other Service Managed, Stocked, and Issued (Service use only)"",""count"":1,""ratio"":0.03846154},{""value"":""Bulk Petroleum Products DLA Managed"",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisition ��� Government Furnished Materiel (GFM)."",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisitioning ��� Disposal (Service/Agency use only).  Phrase Codes L or N may apply."",""count"":1,""ratio"":0.03846154},{""value"":""Lead Service Managed"",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisitions ��� Major Overhaul (Service/Agency use only)."",""count"":1,""ratio"":0.03846154},{""value"":""Condemned.  Phrase Code T applies."",""count"":1,""ratio"":0.03846154},{""value"":""Direct Ordering from Central Contract/Schedule"",""count"":1,""ratio"":0.03846154},{""value"":""Terminal Item.  Phrase Code S applies."",""count"":1,""ratio"":0.03846154},{""value"":""Not Stocked.  Centrally Procured."",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisition ��� Security Assistance Program."",""count"":1,""ratio"":0.03846154},{""value"":""Restricted Requisitioning ��� Other Service Funded (Service use only)."",""count"":1,""ratio"":0.03846154}]",True
4,GoldESP,ACQUISITION_ADVICE_CODES,EDWEFFECTIVEFROMTS,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""16-DEC-20"",""count"":26,""ratio"":1.0}]",True
5,GoldESP,ACQUISITION_ADVICE_CODES,EDWEFFECTIVETOTS,0.0,Unknown,0,0,0,0,26,0,,,,,False
6,GoldESP,ACQUISITION_ADVICE_CODES,EDWLOADTS,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""16-DEC-20"",""count"":26,""ratio"":1.0}]",True
7,GoldESP,ACQUISITION_ADVICE_CODES,EDWSEQ_NO,1.0,Integral,0,0,0,0,0,1,1.0,1.0,0.0,"[{""value"":""1"",""count"":26,""ratio"":1.0}]",True
8,GoldESP,ACQUISITION_ADVICE_CODES,EDWSOFT_DEL_IND,1.0,Integral,0,0,0,0,0,1,0.0,0.0,0.0,"[{""value"":""0"",""count"":26,""ratio"":1.0}]",True
9,GoldESP,ACQUISITION_ADVICE_CODES,EDWSTG_ROW_OP,1.0,Integral,0,0,0,0,0,1,1.0,1.0,0.0,"[{""value"":""1"",""count"":26,""ratio"":1.0}]",True
10,GoldESP,ACQUISITION_ADVICE_CODES,LAST_CHANGED_BY,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""GOLDADMIN"",""count"":26,""ratio"":1.0}]",True
11,GoldESP,ACQUISITION_ADVICE_CODES,LAST_CHANGED_ON,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""07-JUN-19"",""count"":26,""ratio"":1.0}]",True
