,table,column,dataType
0,APPROVERGROUP,APPROVERDESCRIPTION,String
1,APPROVERGROUP,APPROVERGROUPID,String
2,APPROVERGROUP,APPROVERGROUP_PKID,String
3,APPROVERGROUP,APPROVERTEXT,String
4,APPROVERGROUP,EDWEFFECTIVEFROMTS,String
5,APPROVERGROUP,EDWEFFECTIVETOTS,Unknown
6,APPROVERGROUP,EDWLOADTS,String
7,APPROVERGROUP,EDWSEQ_NO,Integral
8,APPROVERGROUP,EDWSOFT_DEL_IND,Integral
9,APPROVERGROUP,EDWSTG_ROW_OP,Integral
10,APPROVERGROUP,INSERTDATE,Unknown
11,APPROVERGROUP,ODSTIMESTAMP,String
12,APPROVERGROUP,SYS_CHANGE_OPERATION,String
13,APPROVERGROUP,UPDATEDATE,Unknown
14,ASSETCONCESSIONJOB,ASSETCONCESSIONID,String
15,ASSETCONCESSIONJOB,ASSETCONCESSIONJOB_PKID,String
16,ASSETCONCESSIONJOB,CONCESSIONID,String
17,ASSETCONCESSIONJOB,EDWEFFECTIVEFROMTS,String
18,ASSETCONCESSIONJOB,EDWEFFECTIVETOTS,Unknown
19,ASSETCONCESSIONJOB,EDWLOADTS,String
20,ASSETCONCESSIONJOB,EDWSEQ_NO,Integral
21,ASSETCONCESSIONJOB,EDWSOFT_DEL_IND,Integral
22,ASSETCONCESSIONJOB,EDWSTG_ROW_OP,Integral
23,ASSETCONCESSIONJOB,INSERTDATE,String
24,ASSETCONCESSIONJOB,ODSTIMESTAMP,String
25,ASSETCONCESSIONJOB,SHIPID,String
26,ASSETCONCESSIONJOB,SYS_CHANGE_OPERATION,String
27,ASSETCONCESSIONJOB,UPDATEDATE,String
28,ASSETREPORTINGTYPE,ACCREF,String
29,ASSETREPORTINGTYPE,ASSETREPORTINGTYPE_PKID,String
30,ASSETREPORTINGTYPE,EDWEFFECTIVEFROMTS,String
31,ASSETREPORTINGTYPE,EDWEFFECTIVETOTS,Unknown
32,ASSETREPORTINGTYPE,EDWLOADTS,String
33,ASSETREPORTINGTYPE,EDWSEQ_NO,Integral
34,ASSETREPORTINGTYPE,EDWSOFT_DEL_IND,Integral
35,ASSETREPORTINGTYPE,EDWSTG_ROW_OP,Integral
36,ASSETREPORTINGTYPE,INSERTDATE,String
37,ASSETREPORTINGTYPE,ODSTIMESTAMP,String
38,ASSETREPORTINGTYPE,REPORTINGTYPEID,String
39,ASSETREPORTINGTYPE,SHIPID,String
40,ASSETREPORTINGTYPE,SYS_CHANGE_OPERATION,String
41,ASSETREPORTINGTYPE,UPDATEDATE,String
42,ASSETTECHNICALQUERY,ACCREF,String
43,ASSETTECHNICALQUERY,ASSETTECHNICALQUERYID,String
44,ASSETTECHNICALQUERY,ASSETTECHNICALQUERY_PKID,String
45,ASSETTECHNICALQUERY,CAGE,String
46,ASSETTECHNICALQUERY,COMPARTMENTID,String
47,ASSETTECHNICALQUERY,DATECREATED,String
48,ASSETTECHNICALQUERY,EDWEFFECTIVEFROMTS,String
49,ASSETTECHNICALQUERY,EDWEFFECTIVETOTS,String
50,ASSETTECHNICALQUERY,EDWLOADTS,String
51,ASSETTECHNICALQUERY,EDWSEQ_NO,String
52,ASSETTECHNICALQUERY,EDWSOFT_DEL_IND,Integral
