rule_id$$table$$columns$$check$$check_details$$required$$valid$$hasSample$$tags$$errorMessage$$failedRowsSample
1$$tc_act_sec_usage$$ASSET_ID$$in$$"{\"column\": \"TC_INSTANCES.ASSET_ID\"}"$$2087414$$2087413$$true$$$$$$"{\"ASSET_ID\":\"a5d267155a0c48eda5fd00facd270859\",\"EVENT_ID\":\"ac1be67846f64b39a253a6257b73d61f\",\"EVENT_USAGE\":51,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":0}"
6$$tc_act_sec_usage$$ASSET_ID,EVENT_ID$$unique$$$$2087414$$2009388$$true$$$$$$"{\"ASSET_ID\":\"968AF7DB7CE4CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C877A0CC62E040A8C0990E1B2E\",\"count\":9}
{\"ASSET_ID\":\"968AF7DB7DD6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C72C8BCC62E040A8C0990E1B2E\",\"count\":9}
{\"ASSET_ID\":\"968AF7DBD5EFCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CECD19CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD172CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C6EDB8CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD51ACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CB0389CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"fa6919b9210142a0b5c59a1dd58ee863\",\"EVENT_ID\":\"5a98b5a12ecf4f5285f31fdb19ba2286\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD535CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CA29CFCC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBCD94CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C6EDB9CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBCD97CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CB0BE0CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBCE61CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CCF959CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD154CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CB038BCC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD799CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFDC71CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD51BCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C91819CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD536CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CBC73DCC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD529CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CB0386CC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD08BCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C84B1CCC62E040A8C0990E1B2E\",\"count\":8}
{\"ASSET_ID\":\"968AF7DBD84BCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C7EBD9CC62E040A8C0990E1B2E\",\"count\":7}
{\"ASSET_ID\":\"968AF7DBF277CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C81989CC62E040A8C0990E1B2E\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC601ACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"c7d76f845ec5439983bf1e8dc513b661\",\"count\":7}
{\"ASSET_ID\":\"968AF7DB8584CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C7BBF7CC62E040A8C0990E1B2E\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC5FF6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"9dde532f3ec647449dd237d9f3e5e3ec\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC5FF6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"30a12bdda990479497fc727faaa8962e\",\"count\":7}
{\"ASSET_ID\":\"d227b0cb8612409e874e9ef97bed40e1\",\"EVENT_ID\":\"aeb3c918d6864d79a18dcf1ea8d0c6a9\",\"count\":7}
{\"ASSET_ID\":\"d227b0cb8612409e874e9ef97bed40e1\",\"EVENT_ID\":\"3a9e7eab4d53411b9101a772af2dfaa4\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC56DBCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"429f6a777f3d4c9fa0006f56e5a43779\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC102ACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C8EA72CC62E040A8C0990E1B2E\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC5FF1CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"acce64d645f54e688986da485015c1d3\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC17F0CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CA54CCCC62E040A8C0990E1B2E\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC62BECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"da2be005bb89467c9ee92e75cc0e06ca\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC601ACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"f75811aa8bc049ec91e5ba5dc91139ba\",\"count\":7}
{\"ASSET_ID\":\"968AF7DBECBBCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C7BBFBCC62E040A8C0990E1B2E\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC69ABCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"cb8e0fc7de864e59a71942634c491d25\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC69AECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"f9e90f7966dc4341b4a41ee53d511bd9\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC69ABCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"a15d1d6d4770422b92cdac9e7bf7b979\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC13B8CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C6A63ACC62E040A8C0990E1B2E\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC5FEECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"2ab13d7b598f4506b97b5226697396cb\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC577ECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"bb6e5b01181c4f3da17d466ee855d6b2\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC56DACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"9767a0b9ef9444bcb450073edcca9b57\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC69AECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"def52ebfc2d14bf4baebebb3d9f1f958\",\"count\":7}
{\"ASSET_ID\":\"968AF7DC1212CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CAC9F2CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC1A3ECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C89EFFCC62E040A8C0990E1B2E\",\"count\":6}
