id,data_source_id,table_name,rule_type,column_names,column_match_expr,comment,tags,parameters,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
727,3,,custom,*_UIN,fnmatch,,,"{\"type\": \"like\", \"x\": \"CA%\"}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
728,3,,custom,*_UIN,fnmatch,,,"{\"type\": \"regex\", \"x\": \"[A-Z]\\\\d{4}[A-Z]\"}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
46,3,TC_ACTIVITY,length,ACTIVITY_ID,,,,"{\"max\": 20}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
32,3,TC_ACTIVITY,complete,ACTIVITY_PLANNED_END,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
31,3,TC_ACTIVITY,complete,ACTIVITY_PLANNED_START,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
33,3,TC_ACTIVITY,length,ACTIVITY_SPECIAL_INSTRUCTIONS,,,,"{\"max\": 4000}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
44,3,TC_ACTIVITY,length,ACTIVITY_TYPE,,,,"{\"max\": 255}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
45,3,TC_ACTIVITY,length,ACTIVITY_TYPE_DESCRIPTION,,,,"{\"max\": 500}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
13,3,TC_ACTIVITY,complete,ASSET_ID,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
16,3,TC_ACTIVITY,in,ASSET_ID,,,,"{\"column\": \"TC_INSTANCES.ASSET_ID\"}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
15,3,TC_ACTIVITY,unique,"ASSET_ID,EVENT_ID",,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
20,3,TC_ACTIVITY,complete,ATUD_CONTROL_NUMBER,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
21,3,TC_ACTIVITY,length,ATUD_CONTROL_NUMBER,,,,"{\"max\": 40}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
19,3,TC_ACTIVITY,complete,ATUD_END_DATE,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
18,3,TC_ACTIVITY,complete,ATUD_START_DATE,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
43,3,TC_ACTIVITY,length,AUTH_INITIALS,,,,"{\"max\": 100}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
40,3,TC_ACTIVITY,complete,AUTH_SERVICE_NUMBER,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
41,3,TC_ACTIVITY,length,AUTH_SERVICE_NUMBER,,,,"{\"max\": 11}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
42,3,TC_ACTIVITY,length,AUTH_SURNAME,,,,"{\"max\": 100}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
36,3,TC_ACTIVITY,length,DESCRIPTION,,,,"{\"max\": 2000}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
34,3,TC_ACTIVITY,length,DESTINATION,,,,"{\"max\": 40}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
37,3,TC_ACTIVITY,length,DRIVER_NAME,,,,"{\"max\": 100}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
39,3,TC_ACTIVITY,length,DRIVER_RANK,,,,"{\"max\": 20}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
38,3,TC_ACTIVITY,length,DRIVER_SERVICE_NUMBER,,,,"{\"max\": 11}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
14,3,TC_ACTIVITY,complete,EVENT_ID,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
17,3,TC_ACTIVITY,in,EVENT_ID,,,,"{\"column\": \"TC_ACTIVITY.EVENT_ID\"}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
28,3,TC_ACTIVITY,complete,EVENT_NAME,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
29,3,TC_ACTIVITY,length,EVENT_NAME,,,,"{\"max\": 40}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
26,3,TC_ACTIVITY,complete,EVENT_OWNER_NAME,,,,,2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
27,3,TC_ACTIVITY,length,EVENT_OWNER_NAME,,,,"{\"max\": 60}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
30,3,TC_ACTIVITY,length,EVENT_OWNER_UIN,,,,"{\"min\": 6, \"max\": 6}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
35,3,TC_ACTIVITY,length,FUEL_DRAWN_SUM,,,,"{\"max\": 15}",2023-10-03T00:00:00.000Z,dq,2023-10-03T00:00:00.000Z,dq,,
