id,data_source_id,table_name,rule_type,column_names,column_match_expr,comment,tags,parameters,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
652,4,TC_ACTIVITY,complete,ACTIVITYPLANNEDEND,,,ADW-ICD-1.8,,2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
653,4,TC_ACTIVITY,complete,ACTIVITYPLANNEDSTART,,,ADW-ICD-1.8,,2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
120,4,TC_ACTIVITY,length,ACTIVITYSPECIALINSTRUCTIONS,,,ICD-1.2,"{\"max\": 4000}",2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
121,4,TC_ACTIVITY,complete,ACTIVITYSPECIALINSTRUCTIONS,,,ICD-1.2,,2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
122,4,TC_ACTIVITY,unique,ACTIVITYSPECIALINSTRUCTIONS,,,ICD-1.2,,2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
114,4,TC_ACTIVITY,length,ACTIVITYTYPE,,,ICD-1.2,"{\"max\": 255}",2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
115,4,TC_ACTIVITY,complete,ACTIVITYTYPE,,,ICD-1.2,,2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
116,4,TC_ACTIVITY,unique,ACTIVITYTYPE,,,ICD-1.2,,2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
117,4,TC_ACTIVITY,length,ACTIVITYTYPEDESCRIPTION,,,ICD-1.2,"{\"max\": 500}",2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
118,4,TC_ACTIVITY,complete,ACTIVITYTYPEDESCRIPTION,,,ICD-1.2,,2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
119,4,TC_ACTIVITY,unique,ACTIVITYTYPEDESCRIPTION,,,ICD-1.2,,2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
651,4,TC_ACTIVITY,length,ACTIVITY_ID,,,ADW-ICD-1.8,"{\"max\": 20}",2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
654,4,TC_ACTIVITY,length,ASSETID,,,ADW-ICD-1.8,"{\"max\": 32}",2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
66,4,TC_ACTIVITY,length,ASSETID,,,ICD-1.2,"{\"max\": 50}",2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
