id,data_source_id,table_name,rule_type,column_names,column_match_expr,comment,tags,parameters,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
1758,1,,length,CAGE,fnmatch,,,"{\"min\": 5, \"max\": 5}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1759,1,,in,CAGE,fnmatch,,,"{\"dictionary\": \"CAGES\"}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1252,1,ACTION_TAKEN_CODES_DEL_TBL,complete,ACTION_TAKEN_CODE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1253,1,ACTION_TAKEN_CODES_DEL_TBL,length,ACTION_TAKEN_CODE,,,,"{\"max\": 2}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1254,1,ACTION_TAKEN_CODES_DEL_TBL,complete,VERSION_NUMBER,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1244,1,ACTION_TAKEN_CODES_TBL,complete,ACTION_TAKEN_CODE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1245,1,ACTION_TAKEN_CODES_TBL,length,ACTION_TAKEN_CODE,,,,"{\"max\": 2}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1246,1,ACTION_TAKEN_CODES_TBL,in,ACTION_TAKEN_CODE,,,,"{\"dictionary\": \"GOLD_ACTION_TAKEN_CODE\"}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1247,1,ACTION_TAKEN_CODES_TBL,complete,DESCRIPTION,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1248,1,ACTION_TAKEN_CODES_TBL,length,DESCRIPTION,,,,"{\"max\": 60}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1249,1,ACTION_TAKEN_CODES_TBL,complete,FLIGHT_SERVICING,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1250,1,ACTION_TAKEN_CODES_TBL,length,FLIGHT_SERVICING,,,,"{\"max\": 1}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1251,1,ACTION_TAKEN_CODES_TBL,length,NO_FAULT_FOUND,,,,"{\"max\": 1}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
3,1,AC_EQUIPMENT_RUNNING_TASKS_TBL,complete,EIAC,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
4,1,AC_EQUIPMENT_RUNNING_TASKS_TBL,length,EIAC,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
5,1,AC_EQUIPMENT_RUNNING_TASKS_TBL,in,EIAC,,,,"{\"dictionary\": \"GOLD_EIAC\"}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
6,1,AC_EQUIPMENT_RUNNING_TASKS_TBL,complete,SEQUENCE_NO,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
7,1,AC_EQUIPMENT_RUNNING_TASKS_TBL,length,TASK_CODE,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
0,1,AC_EQUIP_RUNNING_TASK_DEL_TBL,complete,EIAC,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1,1,AC_EQUIP_RUNNING_TASK_DEL_TBL,length,EIAC,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
2,1,AC_EQUIP_RUNNING_TASK_DEL_TBL,complete,SEQUENCE_NO,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
728,1,AIRCRAFT_MASTER_LIVES_DEL_TBL,complete,ITEM_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
729,1,AIRCRAFT_MASTER_LIVES_DEL_TBL,length,ITEM_ID,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
726,1,AIRCRAFT_MASTER_LIVES_TBL,complete,ITEM_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
727,1,AIRCRAFT_MASTER_LIVES_TBL,length,ITEM_ID,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1724,1,AIRCRAFT_READINESS_LOGS_DEL_TBL,complete,AIRCRAFT_READINESS_LOG_TK,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1725,1,AIRCRAFT_READINESS_LOGS_DEL_TBL,length,AIRCRAFT_READINESS_LOG_TK,,,,"{\"max\": 80}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1726,1,AIRCRAFT_READINESS_LOGS_DEL_TBL,length,ITEM_ID,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1720,1,AIRCRAFT_READINESS_LOGS_TBL,complete,AIRCRAFT_READINESS_LOG_TK,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1721,1,AIRCRAFT_READINESS_LOGS_TBL,length,AIRCRAFT_READINESS_LOG_TK,,,,"{\"max\": 80}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1722,1,AIRCRAFT_READINESS_LOGS_TBL,complete,ITEM_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1723,1,AIRCRAFT_READINESS_LOGS_TBL,length,ITEM_ID,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
803,1,AIRCRAFT_TYPES_DEL_TBL,complete,AIRCRAFT_TYPE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
804,1,AIRCRAFT_TYPES_DEL_TBL,length,AIRCRAFT_TYPE,,,,"{\"max\": 2}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
798,1,AIRCRAFT_TYPES_TBL,complete,AIRCRAFT_TYPE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
799,1,AIRCRAFT_TYPES_TBL,length,AIRCRAFT_TYPE,,,,"{\"max\": 2}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
800,1,AIRCRAFT_TYPES_TBL,in,AIRCRAFT_TYPE,,,,"{\"dictionary\": \"GOLD_AIRCRAFT_TYPE\"}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
801,1,AIRCRAFT_TYPES_TBL,complete,DESCRIPTION,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
802,1,AIRCRAFT_TYPES_TBL,length,DESCRIPTION,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
796,1,AIRCRAFT_TYPE_PARTS_DEL_TBL,complete,AIRCRAFT_TYPE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
797,1,AIRCRAFT_TYPE_PARTS_DEL_TBL,length,AIRCRAFT_TYPE,,,,"{\"max\": 2}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
789,1,AIRCRAFT_TYPE_PARTS_TBL,complete,AIRCRAFT_TYPE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
790,1,AIRCRAFT_TYPE_PARTS_TBL,length,AIRCRAFT_TYPE,,,,"{\"max\": 2}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
791,1,AIRCRAFT_TYPE_PARTS_TBL,in,AIRCRAFT_TYPE,,,,"{\"dictionary\": \"GOLD_AIRCRAFT_TYPE\"}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
792,1,AIRCRAFT_TYPE_PARTS_TBL,complete,DESCRIPTION,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
793,1,AIRCRAFT_TYPE_PARTS_TBL,length,DESCRIPTION,,,,"{\"max\": 40}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
794,1,AIRCRAFT_TYPE_PARTS_TBL,complete,PRIME_PART,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
795,1,AIRCRAFT_TYPE_PARTS_TBL,length,PRIME_PART,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
437,1,ALTERNATE_STATES_DEL_TBL,complete,ALTERNATE_STATE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
438,1,ALTERNATE_STATES_DEL_TBL,length,ALTERNATE_STATE,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
431,1,ALTERNATE_STATES_TBL,complete,ALTERNATE_STATE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
432,1,ALTERNATE_STATES_TBL,length,ALTERNATE_STATE,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
435,1,ALTERNATE_STATES_TBL,length,APPLICABLE_STATUS,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
436,1,ALTERNATE_STATES_TBL,length,CREATED_BY,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
433,1,ALTERNATE_STATES_TBL,complete,DESCRIPTION,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
434,1,ALTERNATE_STATES_TBL,length,DESCRIPTION,,,,"{\"max\": 80}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
10,1,ALT_ITEM_SANCTIONS_DEL_TBL,complete,ITEM_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
11,1,ALT_ITEM_SANCTIONS_DEL_TBL,length,ITEM_ID,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
8,1,ALT_ITEM_SANCTIONS_VW,complete,ITEM_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
9,1,ALT_ITEM_SANCTIONS_VW,length,ITEM_ID,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
14,1,ALT_ITEM_WEIGHT_BALANCES_DEL_TBL,complete,ITEM_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
15,1,ALT_ITEM_WEIGHT_BALANCES_DEL_TBL,length,ITEM_ID,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
12,1,ALT_ITEM_WEIGHT_BALANCES_VW,complete,ITEM_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
13,1,ALT_ITEM_WEIGHT_BALANCES_VW,length,ITEM_ID,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1184,1,AUTHORIZATION_LEVELS_DEL_TBL,complete,AUTH_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1185,1,AUTHORIZATION_LEVELS_DEL_TBL,length,AUTH_ID,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1181,1,AUTHORIZATION_LEVELS_TBL,complete,AUTH_DESCRIPTION,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1182,1,AUTHORIZATION_LEVELS_TBL,length,AUTH_DESCRIPTION,,,,"{\"max\": 255}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1178,1,AUTHORIZATION_LEVELS_TBL,complete,AUTH_GROUP,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1179,1,AUTHORIZATION_LEVELS_TBL,length,AUTH_GROUP,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1180,1,AUTHORIZATION_LEVELS_TBL,in,AUTH_GROUP,,,,"{\"dictionary\": \"GOLD_AUTH_GROUP\"}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1176,1,AUTHORIZATION_LEVELS_TBL,complete,AUTH_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1177,1,AUTHORIZATION_LEVELS_TBL,length,AUTH_ID,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1183,1,AUTHORIZATION_LEVELS_TBL,length,MULTI_TRADE_EQUIVALENT,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
359,1,AWO_CODES_DEL_TBL,complete,SEGREGATION_CODE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
360,1,AWO_CODES_DEL_TBL,length,SEGREGATION_CODE,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
357,1,AWO_CODES_VW,complete,SEGREGATION_CODE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
358,1,AWO_CODES_VW,length,SEGREGATION_CODE,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
540,1,BOM_MAPPINGS_DEL_TBL,complete,BOM_MAPPING_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
541,1,BOM_MAPPINGS_DEL_TBL,length,BOM_MAPPING_ID,,,,"{\"max\": 80}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
527,1,BOM_MAPPINGS_TBL,complete,BOM_MAPPING_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
528,1,BOM_MAPPINGS_TBL,length,BOM_MAPPING_ID,,,,"{\"max\": 80}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
539,1,BOM_MAPPINGS_TBL,in,EXTERNAL_ALC,,,,"{\"dictionary\": \"GOLD_EXTERNAL_ALC\"}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
537,1,BOM_MAPPINGS_TBL,complete,EXTERNAL_EIAC,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
538,1,BOM_MAPPINGS_TBL,length,EXTERNAL_EIAC,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
529,1,BOM_MAPPINGS_TBL,complete,INTERFACE_TYPE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
530,1,BOM_MAPPINGS_TBL,length,INTERFACE_TYPE,,,,"{\"max\": 6}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
536,1,BOM_MAPPINGS_TBL,complete,INTERNAL_ALT_POSITION,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
531,1,BOM_MAPPINGS_TBL,complete,INTERNAL_EIAC,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
532,1,BOM_MAPPINGS_TBL,length,INTERNAL_EIAC,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
535,1,BOM_MAPPINGS_TBL,length,INTERNAL_POSITION,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
533,1,BOM_MAPPINGS_TBL,complete,INTERNAL_WORK_UNIT_CODE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
534,1,BOM_MAPPINGS_TBL,length,INTERNAL_WORK_UNIT_CODE,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1051,1,CAASM_RECORDS_DEL_TBL,complete,CAASM_RECORD_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1052,1,CAASM_RECORDS_DEL_TBL,length,CAASM_RECORD_ID,,,,"{\"max\": 80}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1048,1,CAASM_RECORDS_TBL,length,CAGE,,,,"{\"max\": 5}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1047,1,CAASM_RECORDS_TBL,length,PART,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1049,1,CAASM_RECORDS_TBL,complete,TASK_CODE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1050,1,CAASM_RECORDS_TBL,length,TASK_CODE,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1055,1,CAASM_TEMPORARY_RECORDS_TBL,complete,CAGE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1056,1,CAASM_TEMPORARY_RECORDS_TBL,length,CAGE,,,,"{\"max\": 20}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1057,1,CAASM_TEMPORARY_RECORDS_TBL,complete,ITEM_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1058,1,CAASM_TEMPORARY_RECORDS_TBL,length,ITEM_ID,,,,"{\"max\": 52}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1053,1,CAASM_TEMPORARY_RECORDS_TBL,complete,PART,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1054,1,CAASM_TEMPORARY_RECORDS_TBL,length,PART,,,,"{\"max\": 128}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1261,1,CANNIBALIZATION_CODES_DEL_TBL,complete,CANNIBALIZATION_CODE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1262,1,CANNIBALIZATION_CODES_DEL_TBL,length,CANNIBALIZATION_CODE,,,,"{\"max\": 2}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1255,1,CANNIBALIZATION_CODES_TBL,complete,CANNIBALIZATION_CODE,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1256,1,CANNIBALIZATION_CODES_TBL,length,CANNIBALIZATION_CODE,,,,"{\"max\": 2}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1257,1,CANNIBALIZATION_CODES_TBL,in,CANNIBALIZATION_CODE,,,,"{\"dictionary\": \"GOLD_CANNIBALIZATION_CODE\"}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1258,1,CANNIBALIZATION_CODES_TBL,complete,DESCRIPTION1,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1259,1,CANNIBALIZATION_CODES_TBL,length,DESCRIPTION1,,,,"{\"max\": 40}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1260,1,CANNIBALIZATION_CODES_TBL,length,DESCRIPTION2,,,,"{\"max\": 40}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1268,1,CANNIBALIZATION_RECORDS_DEL_TBL,complete,CANNIBALIZATION_ID,,,,,2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
1269,1,CANNIBALIZATION_RECORDS_DEL_TBL,length,CANNIBALIZATION_ID,,,,"{\"max\": 50}",2023-12-19T00:00:00.000Z,dq,2023-12-19T00:00:00.000Z,dq,,
