rule_id,table,columns,check,required,valid,tags,length,errorMessage
655,tc_activity,ACTIVITY_ID,length,0,0,ADW-ICD-1.8,"{\"max\": 20}","Column(s) ['ACTIVITY_ID'] missing. Table has the following columns: ['ASSETID', 'EVENTID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'ATUDCONTROLNUMBER', 'LFDWENDDATE', 'ATUDENDDATE', 'DESCRIPTION', 'AUTHINITIALS', 'AUTHSURNAME', 'AUTHSERVICENUMBER', 'EVENTNAME', 'EVENTOWNERNAME', 'DESTINATION', 'EVENTOWNERUIN', 'EVENTUSAGE', 'STARTODO', 'ENDODO', 'FUELDRAWNSUM', 'USAGECOUNTERTYPE', 'UNITIDENTITYNUMBER', 'DRIVERRANK', 'DRIVERSERVICENUMBER', 'ACTIVITYTYPE', 'ACTIVITYTYPEDESCRIPTION', 'ACTIVITYSPECIALINSTRUCTIONS', 'DELETEFLAG', 'DRIVERNAME', 'LASTQUERIEDDATE', 'ACTIVITYPLANNEDSTART', 'ACTIVITYPLANNEDEND', 'ATUDSTARTDATE', 'USAGECOUNTERUNIT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
1,tc_asset_fleet_idents,ASSETDSID,in,0,0,,"{\"column\": \"TCINSTANCES.ASSETID\"}","failed to perform join on 'ASSETDSID': Traceback (most recent call last):
  File \"/tmp/module.zip/dq/engine/runtime.py\", line 146, in create_runnable_rules_checker_df
    rule_df = rule.apply_required_joins(df, self.spark)
  File \"/tmp/module.zip/dq/engine/rules.py\", line 264, in apply_required_joins
    .table(self.other_table))
  File \"/opt/amazon/spark/python/lib/pyspark.zip/pyspark/sql/session.py\", line 1055, in table
    return DataFrame(self._jsparkSession.table(tableName), self)
  File \"/opt/amazon/spark/python/lib/py4j-0.10.9.5-src.zip/py4j/java_gateway.py\", line 1321, in __call__
    return_value = get_return_value(
  File \"/opt/amazon/spark/python/lib/pyspark.zip/pyspark/sql/utils.py\", line 196, in deco
    raise converted from None
pyspark.sql.utils.AnalysisException: Table or view not found: TCINSTANCES;
'UnresolvedRelation [TCINSTANCES], [], false"
762,tc_maint_history,FAULT_ID,length,0,0,ADW-ICD-1.8,"{\"max\": 32}","Column(s) ['FAULT_ID'] missing. Table has the following columns: ['EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'ASSETID', 'MAINTENVIRONMENTNAME', 'MAINTTEMPLATEID', 'MAINTENANCESTATUS', 'CUMULATIVEATCLOSED', 'CURRENTUSAGEATCLOSE', 'DATERECORDED', 'OPERPARAMDISPLAYID', 'DELETEFLAG', 'LASTQUERIEDDATE', 'REPAIRACTIONID', 'ACTUALCOMPLETIONDATE', 'LFDWID', 'LFDWSARTDATE', 'MAINTHISTORYID', 'MAINTUSAGEID', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
773,tc_mod_codes,ASSETID,complete,0,0,ADW-ICD-1.8,,"Column(s) ['ASSETID'] missing. Table has the following columns: ['MODID', 'PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'MODFAULTSTATE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'NSN', 'MODCODE', 'MODDESC', 'ASEPNUMBERSPECIFIC', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
