"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","DEFAULT_LENGTH","DATA_DEFAULT","CHAR_LENGTH"
"ACQUISITION_ADVICE_CODES","ACQUISITION_ADVICE_CODE","VARCHAR2",4,,,"N",,"",1
"ACQUISITION_ADVICE_CODES","CREATED_BY","VARCHAR2",80,,,"N",,"",20
"ACQUISITION_ADVICE_CODES","CREATED_ON","DATE",7,,,"N",,"",0
"ACQUISITION_ADVICE_CODES","DESCRIPTION","VARCHAR2",400,,,"N",,"",100
"ACQUISITION_ADVICE_CODES","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"ACQUISITION_ADVICE_CODES","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"ACQUISITION_ADVICE_CODES","EDWLOADTS","DATE",7,,,"N",,"",0
"ACQUISITION_ADVICE_CODES","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"ACQUISITION_ADVICE_CODES","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"ACQUISITION_ADVICE_CODES","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"ACQUISITION_ADVICE_CODES","LAST_CHANGED_BY","VARCHAR2",80,,,"N",,"",20
"ACQUISITION_ADVICE_CODES","LAST_CHANGED_ON","DATE",7,,,"N",,"",0
"ACQUISITION_ADVICE_CODES","TYPE_SOS","VARCHAR2",4,,,"N",,"",1
"ACQUISITION_ADVICE_CODES","TYPE_SOS_OVERRIDE","VARCHAR2",4,,,"Y",,"",1
"ACTION_TAKEN_CODES","ACTION_TAKEN_CODE","VARCHAR2",8,,,"N",,"",2
"ACTION_TAKEN_CODES","DESCRIPTION","VARCHAR2",240,,,"N",,"",60
"ACTION_TAKEN_CODES","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"ACTION_TAKEN_CODES","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"ACTION_TAKEN_CODES","EDWLOADTS","DATE",7,,,"N",,"",0
"ACTION_TAKEN_CODES","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"ACTION_TAKEN_CODES","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"ACTION_TAKEN_CODES","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"ACTION_TAKEN_CODES","FLIGHT_SERVICING","CHAR",4,,,"N",,"",1
"ACTION_TAKEN_CODES","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"ACTION_TAKEN_CODES","NO_FAULT_FOUND","CHAR",4,,,"Y",,"",1
"ACTION_TAKEN_CODES","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","COLUMN_HEADING","VARCHAR2",20,,,"Y",,"",20
"AC_EQUIPMENT_RUNNING_TASKS","CREATED_BY","VARCHAR2",20,,,"Y",,"",20
"AC_EQUIPMENT_RUNNING_TASKS","CREATED_ON","DATE",7,,,"Y",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","EDWLOADTS","DATE",7,,,"N",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
